Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Ant's Corner],Price [Ant's Corner],In stock [Ant's Corner],Low stock [Ant's Corner]
fruit-jelly-2.5kg,10242,FRUIT JELLY 2.5KG - ASSORTED,Drink Ingredients,,N,,,,,,,182,6935133606017,,,Y,Y,290,0,6
fruit-jelly-2.5kg---white,10268,FRUIT JELLY 2.5KG - WHITE,Drink Ingredients,,N,,,,,,,210,527341680298,,,Y,Y,270,0,6
fuji-dark-bittersweet-compound-1kg,10521,FUJI DARK BITTERSWEET COMPOUND 1KG,Baking Supplies,,N,,,,,,,275,4806530990189,,,Y,Y,315,0,2
fuji-semisweet-compound-1kg,10821,FUJI SEMISWEET COMPOUND 1KG,Baking Supplies,,N,,,,,,,275,137341680788,,,Y,Y,315,4,3
funny-egg-box,10806,FUNNY EGG CANDY- BOX,Candies & Sweets,,N,,,,,,,120,137341680789,,,Y,Y,150,0,1
ginto-gin-600ml,9000,GINTO GIN 600ML,Liquors & Spirits,,N,,,,,,,124,527341680299,,,Y,Y,143,1,1
glass-jar-black-cap-100g--round,10389,GLASS JAR BLACK CAP 100g- ROUND,Packaging & Containers,,N,,,,,,,18,137341680790,,,Y,Y,24,60,10
glass-bottle-black-cap-150g,10181,GLASS JAR BLACK CAP 150g- ROUND,Packaging & Containers,,N,,,,,,,18,527341680300,,,Y,Y,26,51,10
glass-jar-black-cap-200g--round,10292,GLASS JAR BLACK CAP 200g- ROUND,Packaging & Containers,,N,,,,,,,21,137341680791,,,Y,Y,32,0,20
glass-jar-black-cap-250g--square,10269,GLASS JAR BLACK CAP 250g- SQUARE,Packaging & Containers,,N,,,,,,,26,527341680301,,,Y,Y,35,0,10
glitter-luster-powder-gold-5g-1,10227,GLITTER LUSTER POWDER Silver 5g,Cake Accessories,,N,,,,,,,65,527341680303,,,Y,Y,95,1,1
jerky--gluten-latiao,10344,GLUTEN LATIAO (RED),Candies & Sweets,,N,,,,,,,5.33,6976503550066,,,Y,Y,15,4,15
gluten-latiao-(violet),10945,GLUTEN LATIAO (VIOLET),Candies & Sweets,,N,,,,,,,5.02,137341680792,,,Y,Y,15,84,10
gluten-latiao--small,10803,GLUTEN LATIAO- SMALL,Candies & Sweets,,N,,,,,,,0.95,137341680793,,,Y,Y,5,34,20
guchojang-200g,10498,GOCHUJANG 200G,Korean,,N,,,,,,,67.5,8801052801773,,,Y,Y,120,3,1
gold-coin-christmas-tree,10226,GOLD COIN CHRISTMAS TREE,Candies & Sweets,,N,,,,,,,95,137341680794,,,Y,Y,125,0,1
gold-coin-tumbler,10170,GOLD COIN TUMBLER,Candies & Sweets,,N,,,,,,,115,137341680795,,,Y,Y,140,0,1
gold-plastic-pouch-half-transparent-10x15-small,10911,GOLD PLASTIC POUCH-HALF TRANSPARENT 10X15-SMALL,Packaging & Containers,,N,,,,,,,1.78,137341680796,,,Y,Y,4,50,5
gold-plastic-pouch-half-transparent-10x15-small-1,10912,GOLD PLASTIC POUCH-HALF TRANSPARENT 14x20- BIG,Packaging & Containers,,N,,,,,,,2.78,137341680797,,,Y,Y,7,120,5
gold-toffee-candy,10716,GOLD TOFFEE CANDY,Candies & Sweets,,N,,,,,,,3.83,137341680798,,,Y,Y,10,3,10
GSPM02,2501,GOSSIP SWEETLIPS PINK MOSCATO 750ML,Liquors & Spirits,<p>750 ML</p>,N,,,,,,,459,527341680304,,,Y,Y,528,1,1
gourmet-tuyo-150g,10282,GOURMET TUYO 150G,Gourmet Products,,N,,,,,,,75,527341680305,,,Y,Y,140,4,5
GCDC132,1136,GOYA CHIPS DARK CHOCOLATE 150G,Baking Supplies,,N,,,,,,,70.81,527341680306,,,Y,Y,89,0,2
GCMC133,1137,GOYA CHIPS MILK CHOCOLATE 150G,Baking Supplies,,N,,,,,,,70.81,8991001302427,,,Y,Y,89,0,1
graduation-cake-topper--black-(female),10540,GRADUATION CAKE TOPPER- BLACK (FEMALE),Cake Accessories,,N,,,,,,,9.2,137341680799,,,Y,Y,28,8,3
graduation-cake-topper--black-(male),10539,GRADUATION CAKE TOPPER- BLACK (MALE),Cake Accessories,,N,,,,,,,9.2,137341680800,,,Y,Y,28,10,3
grease-paper-24x36-1's,10460,GREASE PAPER 24x36 1'S,Cake Accessories,,N,,,,,,,6.68,137341680801,,,Y,Y,15,4,10
gsm-blue-gin-pomelo,24731,GSM BLUE GIN POMELO 700ML,Liquors & Spirits,,N,,,,,,,122,527341680308,,,Y,Y,141,2,1
gsm-blue-light-700ml,9001,GSM BLUE LIGHT 700ML,Liquors & Spirits,,N,,,,,,,112,527341680309,,,Y,Y,144,1,1
gsm-blue-margarita-700ml,9003,GSM BLUE MARGARITA 700ML,Liquors & Spirits,,N,,,,,,,122,527341680310,,,Y,Y,141,1,1
gsm-blue-mojito-700ml,9005,GSM BLUE MOJITO 700ML,Liquors & Spirits,,N,,,,,,,122,527341680311,,,Y,Y,141,0,1
gulaman--buko-pandan,10376,GULAMAN- BUKO PANDAN,Drink Ingredients,,N,,,,,,,11.4,137341680802,,,Y,Y,17,23,5
gelatin--clear,10353,GULAMAN- CLEAR,Drink Ingredients,,N,,,,,,,11.4,137341680803,,,Y,Y,17,15,5
gulaman--coffee-jelly,10790,GULAMAN- COFFEE JELLY,Drink Ingredients,,N,,,,,,,11.5,137341680804,,,Y,Y,18,20,5
gelatin--green,10351,GULAMAN- GREEN,Drink Ingredients,,N,,,,,,,11,137341680805,,,Y,Y,17,21,3
gelatin--red,10354,GULAMAN- RED,Drink Ingredients,,N,,,,,,,11,137341680806,,,Y,Y,17,22,5
gelatin--yellow,10352,GULAMAN- YELLOW,Drink Ingredients,,N,,,,,,,11.4,137341680807,,,Y,Y,17,24,3
gummies-100g,10394,GUMMIES 100g,Candies & Sweets,,N,,,,,,,11.88,137341680808,,,Y,Y,30,148,50
gummies-in-a-tub-250g,10685,GUMMIES IN A TUB 250G,Candies & Sweets,,N,,,,,,,29.6,137341680809,,,Y,Y,100,26,3
gummies-mini-5g,10514,GUMMIES MINI 5G,Candies & Sweets,,N,,,,,,,3.17,4810658713582,,,Y,Y,10,8,10
gummies-in-a-cup-150g,10395,GUMMIES SUNDAE CUP 150G,Candies & Sweets,,N,,,,,,,17.8,137341680810,,,Y,Y,45,0,20
haha-latiao,10938,HAHA LATIAO,Candies & Sweets,,N,,,,,,,4.83,137341680811,,,Y,Y,15,45,5
pe-laminated-2-f-hamburger-pouch-6-x-6-50's,10264,HAMBURGER POUCH 6 X 6 50'S,Packaging & Containers,,N,,,,,,,31.35,527341680440,,,Y,Y,52,9,5
happy-anniv-cake-topper--acrylic-gold,10035,HAPPY ANNIV CAKE TOPPER- ACRYLIC GOLD,Cake Accessories,,N,,,,,,,9.6,137341680812,,,Y,Y,28,6,3
happy-star-candy,10842,HAPPY STAR CANDY,Candies & Sweets,,N,,,,,,,3.75,137341680813,,,Y,Y,10,10,10
happy-teeth-candy,10378,HAPPY TEETH CANDY,Candies & Sweets,,N,,,,,,,3.67,137341680814,,,Y,Y,10,66,20
HSB1020,1536,HARD STRAW 1KG- BLACK,Packaging & Containers,,N,,,,,,,155,527341680312,,,Y,Y,215,0,2
hard-straw-1kg--red,10791,HARD STRAW 1KG- GREEN/WHITE,Packaging & Containers,,N,,,,,,,155,137341680815,,,Y,Y,215,2,2
haw-flakes,10768,HAW FLAKES,Candies & Sweets,,N,,,,,,,2,137341680816,,,Y,Y,5,1,5
hbd-banner--black,10783,HBD BANNER- BLACK,Party Needs,,N,,,,,,,17,137341680817,,,Y,Y,45,4,1
hbd-banner--laser-light-blue,10947,HBD BANNER- LASER LIGHT BLUE,Party Needs,,N,,,,,,,27,137341680818,,,Y,Y,50,2,1
hbd-banner--laser-pink,10518,HBD BANNER- LASER PINK,Party Needs,,N,,,,,,,27,137341680819,,,Y,Y,50,10,3
hbd-banner--laser-silver,10563,HBD BANNER- LASER SILVER,Party Needs,,N,,,,,,,27,137341680820,,,Y,Y,50,5,3
hbd-banner--pink,10782,HBD BANNER- PINK,Party Needs,,N,,,,,,,17,137341680821,,,Y,Y,45,4,3
hbd-banner--white,10781,HBD BANNER- WHITE,Party Needs,,N,,,,,,,17,137341680822,,,Y,Y,45,4,3
hbd-banner--white/coffee,10946,HBD BANNER- WHITE/COFFEE,Party Needs,,N,,,,,,,17,137341680823,,,Y,Y,45,5,2
hbd-banner--white/pink,10948,HBD BANNER- WHITE/PINK,Party Needs,,N,,,,,,,17,137341680824,,,Y,Y,45,2,1
hbd-cake-topper--2-layers-acrylic-black/gold,10252,HBD CAKE TOPPER- 2 LAYERS ACRYLIC BLACK/GOLD,Cake Accessories,,N,,,,,,,25,527341680313,,,Y,Y,40,1,2
hbd-cake-topper--2-layers-acrylic-white/gold,10253,HBD CAKE TOPPER- 2 LAYERS ACRYLIC WHITE/GOLD,Cake Accessories,,N,,,,,,,25,527341680314,,,Y,Y,45,1,2
hbd-cake-topper--acrylic-gold,10255,HBD CAKE TOPPER- ACRYLIC GOLD,Cake Accessories,,N,,,,,,,10,527341680315,,,Y,Y,28,19,10
hbd-cake-topper--acrylic-silver-round,10254,HBD CAKE TOPPER- ACRYLIC SILVER ROUND,Cake Accessories,,N,,,,,,,6.9,527341680316,,,Y,Y,28,5,3
hbd-topper-rose-gold,10125,HBD TOPPERS - METALLIC PINK ACRYLIC,Cake Accessories,,N,,,,,,,15,527341680318,,,Y,Y,28,4,3
hbd-toppers---plastic-pink-round,10187,HBD TOPPERS - PLASTIC PINK ROUND,Cake Accessories,,N,,,,,,,5.9,527341680319,,,Y,Y,15,4,2
hbd-toppers----black-acrylic,10191,HBD TOPPERS- ACRYLIC BLACK,Cake Accessories,,N,,,,,,,10,527341680317,,,Y,Y,28,11,3
hbd-topper-gold,10126,HBD TOPPERS- W/O STICK GOLD ACRYLIC,Cake Accessories,,N,,,,,,,10,527341680320,,,Y,Y,28,12,3
heart-mallows-10s,10839,Heart mallows 10s,Candies & Sweets,,N,,,,,,,7.77,137341680825,,,Y,Y,20,1,
heart-shaped-rock-candy-stone,10607,HEART SHAPED ROCK CANDY STONE,Candies & Sweets,,N,,,,,,,4.1,137341680826,,,Y,Y,8,6,10
